;NAME;;PSRJ;;P0;;;P1;;;DIST;EDOT;BSURF_I;
;;;;;(s);;;;;;(kpc);(ergs/s);(G);
737;J1308-4650;jbo+09;J1308-4650;jbo+09;1.05883304424;3.0e-11;jbo+09;0.5259E-15;1.6e-18;jbo+09;2.188;1.7e+31;*;
738;J1308-5844;lfl+06;J1308-5844;lfl+06;0.4646997488;7.0e-10;lfl+06;8.639E-15;5.0e-18;lfl+06;6.462;3.4e+33;*;
739;J1309-6415;mlc+01;J1309-6415;mlc+01;0.6194535568;3.0e-10;mlc+01;8.79E-15;1.2e-16;mlc+01;11.977;1.5e+33;*;
740;J1309-6526;kbm+03;J1309-6526;kbm+03;0.398292162785;2.0e-11;kbm+03;1.84E-17;1.5e-18;kbm+03;11.256;1.1e+31;*;
741;B1309-12;dtws85;J1311-1228;dtws85;0.4475177112318;7.0e-13;hlk+04;1.50859E-16;4.0e-21;hlk+04;25.000;6.6e+31;*;
742;J1311-3430;pgf+12;J1311-3430;pgf+12;0.0025603710316720;3.0e-16;pgf+12;2.0964E-20;1.4e-23;pgf+12;2.430;4.9e+34;*;
743;J1312+0051;san16;J1312+0051;san16;0.0042280189916604;2.0e-16;san16;17.527E-21;3.0e-24;san16;1.471;9.2e+33;1.87e+08;
744;B1310+18;kapw91;J1312+1810A;kapw91;0.033163166;3.0e-09;kapw91;*;0;*;17.900;*;*;
745;J1312+1810B;pqm+21;J1312+1810B;pqm+21;0.00624;0.0e+00;pqm+21;*;0;*;17.900;*;*;
746;J1312+1810C;pqm+21;J1312+1810C;pqm+21;0.01253;0.0e+00;pqm+21;*;0;*;17.900;*;*;
747;J1312+1810D;pqm+21;J1312+1810D;pqm+21;0.00607;0.0e+00;pqm+21;*;0;*;17.900;*;*;
748;B1309-53;mlt+78;J1312-5402;mlt+78;0.72815439421;3.0e-11;lbs+20;1.4660E-16;1.1e-19;lbs+20;4.905;1.5e+31;*;
749;B1309-55;mlt+78;J1312-5516;mlt+78;0.8492425970;3.0e-10;lbs+20;5.70487E-15;8.0e-20;lbs+20;4.187;3.7e+32;*;
750;J1312-6400;mlc+01;J1312-6400;mlc+01;2.43743249609;1.1e-10;mlc+01;6.8E-16;5.0e-17;mlc+01;1.526;1.9e+30;*;
751;J1313+0931;lzb+00;J1313+0931;lzb+00;0.84893275073;2.0e-11;lzb+00;8E-16;1.0e-16;lzb+00;1.080;5.2e+31;*;
752;J1314-6101;kbm+03;J1314-6101;kbm+03;2.9483896038;1.5e-09;kbm+03;1.17E-14;9.0e-16;kbm+03;8.539;1.8e+31;*;
753;J1316-6232;cmk01;J1316-6232;cmk01;0.34282539844;6.0e-11;cmk01;5.297E-15;2.0e-18;cmk01;25.000;5.2e+33;*;
754;J1317-0157;mss+20;J1317-0157;mss+20;0.00291;0.0e+00;mss+20;*;0;*;25.000;*;*;
755;J1317-5759;mll+06;J1317-5759;mll+06;2.64219851320;5.0e-11;mlk+09;12.560E-15;3.0e-18;mlk+09;3.765;2.7e+31;*;
756;J1317-6302;mlc+01;J1317-6302;mlc+01;0.26127055606;3.0e-11;mlc+01;1.02E-16;6.0e-18;mlc+01;12.771;2.3e+32;*;
757;B1316-60;jlm+92;J1319-6056;jlm+92;0.284352671928;8.0e-12;lbs+20;1.52720E-15;6.0e-20;lbs+20;11.852;2.6e+33;*;
758;J1319-6105;kbm+03;J1319-6105;kbm+03;0.421118114249;6.0e-12;kbm+03;1.5012E-15;1.1e-18;kbm+03;12.173;7.9e+32;*;
759;J1320-3512;mld+96;J1320-3512;mld+96;0.45848840672;7.0e-11;dsb+98;1.9E-18;8.0e-19;dsb+98;0.873;7.8e+29;*;
760;B1317-53;mlt+78;J1320-5359;mlt+78;0.2797376832822;8.0e-13;jbv+19;9.24577E-15;8.0e-20;jbv+19;2.204;1.7e+34;1.63e+12;
761;J1320+67;slr+14;J1320+67;slr+14;1.028620;3.5e-05;slr+14;*;0;*;25.000;*;*;
762;J1321-5922;kel+09;J1321-5922;kel+09;1.27905759523;7.0e-11;kel+09;2.37E-15;3.0e-17;kel+09;25.000;4.5e+31;*;
763;B1322+83;dbtb82;J1321+8323;dbtb82;0.670037418386;3.0e-12;hlk+04;5.6630E-16;3.0e-20;hlk+04;1.087;7.4e+31;6.20e+11;
764;J1322-62;kek+13;J1322-62;kek+13;1.044851;4.0e-06;kek+13;*;0;*;15.752;*;*;
765;J1322-6241;mlc+01;J1322-6241;mlc+01;0.50605841373;5.0e-11;mlc+01;2.587E-15;1.8e-17;mlc+01;12.236;7.9e+32;*;
766;J1322-6329;kbm+03;J1322-6329;kbm+03;2.7642094208;5.0e-10;kbm+03;1.108E-14;1.0e-16;kbm+03;12.376;2.1e+31;*;
767;J1324-6146;kbm+03;J1324-6146;kbm+03;0.8441085753;3.0e-10;kbm+03;5.58E-15;1.4e-16;kbm+03;25.000;3.7e+32;*;
768;J1324-6302;kbm+03;J1324-6302;kbm+03;2.48380369300;1.0e-10;kbm+03;9.79E-16;9.0e-18;kbm+03;11.685;2.5e+30;*;
769;J1326+33;ttm18;J1326+33;ttm18;0.0415;0;ttm18;*;0;*;0.344;*;*;
770;J1326-4728A;djk+20;J1326-4728A;djk+20;0.00410878619219;6.0e-14;djk+20;2.7E-20;4.0e-21;djk+20;5.200;1.5e+34;*;
771;J1326-4728B;djk+20;J1326-4728B;djk+20;0.00479186916127;1.2e-13;djk+20;2.8E-20;1.0e-20;djk+20;5.200;9.9e+33;*;
772;J1326-4728C;djk+20;J1326-4728C;djk+20;0.006867860069;1.0e-11;djk+20;*;0;*;5.200;*;*;
773;J1326-4728D;djk+20;J1326-4728D;djk+20;0.0045788334643;1.5e-12;djk+20;*;0;*;5.200;*;*;
774;J1326-4728E;djk+20;J1326-4728E;djk+20;0.00420771704066;4.0e-14;djk+20;*;0;*;5.200;*;*;
775;B1323-58;mlt+78;J1326-5859;mlt+78;0.477993612757;5.0e-12;jbv+19;3.24180E-15;1.9e-19;jbv+19;3.000;1.2e+33;*;
776;B1323-63;mlt+78;J1326-6408;mlt+78;0.79267387666;6.0e-11;lbs+20;3.090331E-15;1.3e-20;lbs+20;11.992;2.4e+32;*;
777;B1322-66;mlt+78;J1326-6700;mlt+78;0.543015040685;1.8e-11;jbv+19;5.3262E-15;1.2e-18;jbv+19;6.697;1.3e+33;*;
778;J1327-0755;blr+13;J1327-0755;blr+13;0.0026779231971205;2.0e-16;blr+13;1.773E-21;1.8e-23;blr+13;25.000;3.6e+33;-nan;
779;B1323-62;kac+73;J1327-6222;kac+73;0.529929186747;9.0e-12;jbv+19;1.87920E-14;3.0e-19;jbv+19;4.000;5.0e+33;*;
780;B1323-627;jlm+92;J1327-6301;jlm+92;0.1964799448668;1.6e-12;lbs+20;1.529941E-15;4.0e-21;lbs+20;6.218;8.0e+33;*;
781;J1327-6400;mlc+01;J1327-6400;mlc+01;0.280677974168;1.3e-11;mlc+01;3.1177E-14;4.0e-18;mlc+01;12.991;5.6e+34;*;
782;B1325-43;mlt+78;J1328-4357;mlt+78;0.53269880337;1.3e-10;nmc81;3.014E-15;6.0e-18;nmc81;1.424;7.9e+32;1.28e+12;
783;B1325-49;mlt+78;J1328-4921;mlt+78;1.4787213559;4.0e-10;nmc81;6.1E-16;2.0e-17;nmc81;8.396;7.4e+30;*;
784;J1329+13;ttm+18;J1329+13;ttm+18;*;0;*;*;0;*;1.087;*;*;
785;J1329-6158;kbm+03;J1329-6158;kbm+03;1.5652179638;8.0e-10;kbm+03;3.39E-14;3.0e-16;kbm+03;11.872;3.5e+32;*;
786;J1331-5245;kjv+10;J1331-5245;kjv+10;0.6481166471;2.0e-10;bbb+12;0.510E-15;9.0e-18;bbb+12;8.933;7.4e+31;*;
787;J1332-03;kkl+15;J1332-03;kkl+15;1.10640;5.0e-05;kkl+15;*;0;*;25.000;*;*;
788;J1332-3032;lml+98;J1332-3032;lml+98;0.650434490647;1.7e-11;hlk+04;5.603E-16;4.0e-19;hlk+04;0.882;8.0e+31;*;
789;J1333-4449;jbo+09;J1333-4449;jbo+09;0.345602948594;3.0e-12;jbo+09;0.00054E-15;1.9e-19;jbo+09;1.434;5.2e+29;*;
790;J1334+10;scb+19;J1334+10;scb+19;0.9111;0;scb+19;*;0;*;25.000;*;*;
791;J1334-5839;mld+96;J1334-5839;mld+96;0.1077182159234;2.0e-13;dsb+98;2.1596E-17;4.0e-21;dsb+98;2.495;6.8e+32;*;
792;J1335-3642;mld+96;J1335-3642;mld+96;0.399192;3.0e-06;mld+96;*;0;*;2.495;*;*;
793;J1335-5656;nie+20;J1335-5656;nie+20;0.003238;0;nie+20;1.21e-20;0;nie+20;*;1.4e+34;*;
794;J1336-2522;kmk+18;J1336-2522;kmk+18;0.478145482800;6.0e-12;kmk+18;0.3306E-15;5.0e-19;kmk+18;5.349;1.2e+32;*;
795;J1336+33;ttm+18;J1336+33;ttm+18;3.0130;0;ttm18;*;0;*;0.719;*;*;
796;J1337-4441;kbj+18;J1337-4441;kbj+18;1.25751149260;4.0e-11;sfj+20;3.031E-16;5.0e-19;sfj+20;25.000;6.0e+30;*;
797;J1337-6306;hfs+04;J1337-6306;hfs+04;0.207953012189;4.0e-12;hfs+04;3.558E-16;3.0e-19;hfs+04;12.932;1.6e+33;*;
798;J1337-6423;kjb+12;J1337-6423;kjb+12;0.009423406717798;1.7e-14;nbb+14;2.469E-20;1.8e-22;nbb+14;5.940;1.2e+33;3.56e+08;
799;B1334-61;jlm+92;J1338-6204;jlm+92;1.23900057924;4.0e-11;lbs+20;1.37911E-14;1.0e-18;lbs+20;12.363;2.9e+32;*;
800;J1339-4712;jbo+09;J1339-4712;jbo+09;0.1370546579332;4.0e-13;jbo+09;0.00053E-15;2.0e-20;jbo+09;1.212;8.1e+30;*;
801;J1339-6618;kbm+03;J1339-6618;kbm+03;0.55817922185;5.0e-11;kbm+03;3.5E-16;3.0e-17;kbm+03;7.327;7.9e+31;*;
802;B1336-64;mlt+78;J1340-6456;mlt+78;0.37862206628;4.0e-11;nmc81;5.0512E-15;1.6e-18;nmc81;1.402;3.7e+33;*;
803;J1341-6023;mlc+01;J1341-6023;mlc+01;0.627285365870;1.6e-11;mlc+01;1.9461E-14;8.0e-18;mlc+01;7.278;3.1e+33;*;
804;B1338-62;mdt85;J1341-6220;mdt85;0.193339746306;1.9e-11;wmp+00;2.53107E-13;3.0e-18;wmp+00;12.599;1.4e+36;*;
805;J1342+2822A;hrs+07;J1342+2822A;hrs+07;0.00254473838;4.0e-11;pqm+21;*;0;*;10.200;*;*;
806;J1342+2822B;hrs+07;J1342+2822B;hrs+07;0.002389420757786;1.0e-15;hrs+07;1.858E-20;4.0e-23;hrs+07;10.200;5.4e+34;*;
807;J1342+2822C;hrs+07;J1342+2822C;hrs+07;0.002166;1.0e-06;hrs+07;*;0;*;10.200;*;*;
808;J1342+2822D;hrs+07;J1342+2822D;hrs+07;0.00544297516;6.0e-11;hrs+07;*;0;*;10.200;*;*;
809;J1342+2822E;pqm+21;J1342+2822E;pqm+21;0.00547;0.0e+00;pqm+21;*;0;*;10.200;*;*;
810;J1342+2822F;pqm+21;J1342+2822F;pqm+21;0.0044;0.0e+00;pqm+21;*;0;*;10.200;*;*;
811;J1343+6634;mhl+18;J1343+6634;mhl+18;1.39410378554;1.0e-11;mbc+20;1.0882E-15;7.0e-19;mbc+20;25.000;1.6e+31;*;
812;J1344-5855;ccb+20;J1344-5855;ccb+20;0.252397929468;5.0e-12;ccb+20;2914.5E-18;1.7e-18;ccb+20;7.537;7.2e+33;*;
813;J1344-6059;kbm+03;J1344-6059;kbm+03;0.54010232140;6.0e-11;kbm+03;4.3E-17;4.0e-18;kbm+03;7.414;1.1e+31;*;
814;J1345-6115;mlc+01;J1345-6115;mlc+01;1.25308459010;1.8e-10;mlc+01;3.25E-15;8.0e-17;mlc+01;5.565;6.5e+31;*;
815;J1346-4918;bbb+12;J1346-4918;bbb+12;0.2996251068;2.0e-10;bbb+12;0.035E-15;3.0e-18;bbb+12;2.529;5.1e+31;*;
816;J1347-5947;mlc+01;J1347-5947;mlc+01;0.609961754304;1.5e-11;mlc+01;1.4160E-14;7.0e-18;mlc+01;6.285;2.5e+33;*;
817;J1348-6307;mlc+01;J1348-6307;mlc+01;0.9277722389;3.0e-10;mlc+01;3.79E-15;7.0e-17;mlc+01;10.640;1.9e+32;*;
818;J1349-6130;mlc+01;J1349-6130;mlc+01;0.259364764102;1.3e-11;psj+19;5.11709E-15;3.0e-20;psj+19;5.480;1.2e+34;*;
819;J1349-63;ncb+15;J1349-63;ncb+15;0.3730340;1.0e-07;ncb+15;*;0;*;9.312;*;*;
820;J1350-5115;lml+98;J1350-5115;lml+98;0.295699706346;7.0e-12;lbs+20;7.57513E-16;1.8e-20;lbs+20;3.304;1.2e+33;*;
821;J1350-6225;cwp+17;J1350-6225;cwp+17;0.1381577782128;1.2e-12;cwp+17;8.88351E-15;4.0e-20;cwp+17;*;1.3e+35;*;
822;J1352-6803;ebvb01;J1352-6803;ebvb01;0.628902546380;1.6e-11;ebvb01;1.234E-15;3.0e-18;ebvb01;9.902;2.0e+32;*;
823;J1354+2454;mss+20;J1354+2454;mss+20;6.27;0.0e+00;mss+20;*;0;*;3.732;*;*;
824;J1354-6249;kbm+03;J1354-6249;kbm+03;2.951938334;3.0e-09;kbm+03;1.48E-14;1.1e-15;kbm+03;5.159;2.3e+31;*;
825;B1352-51;mlt+78;J1355-5153;mlt+78;0.644304508167;1.3e-11;lbs+20;2.81191E-15;5.0e-20;lbs+20;4.984;4.2e+32;*;
826;J1355-5747;lfl+06;J1355-5747;lfl+06;2.0386738254;4.0e-10;lfl+06;7.1E-16;9.0e-17;lfl+06;6.443;3.3e+30;*;
827;J1355-5925;kbm+03;J1355-5925;kbm+03;1.21338122674;5.0e-11;kbm+03;5.986E-15;1.1e-17;kbm+03;7.208;1.3e+32;*;
828;J1355-6206;kbm+03;J1355-6206;kbm+03;0.276603043150;1.0e-11;kbm+03;3.1E-18;6.0e-19;kbm+03;7.542;5.8e+30;*;
829;J1356-5521;mld+96;J1356-5521;mld+96;0.507379566696;6.0e-12;dsb+98;7.2350E-16;1.0e-19;dsb+98;7.317;2.2e+32;*;
830;B1353-62;kac+73;J1357-62;kac+73;0.455761;1.0e-06;jlm+92;*;0;*;6.481;*;*;
831;J1357-6429;lfl+06;J1357-6429;lfl+06;0.166108327507;1.4e-11;lfl+06;3.601843E-13;1.4e-18;lfl+06;3.100;3.1e+36;*;
832;J1358-2533;mld+96;J1358-2533;mld+96;0.912971;1.0e-06;dsb+98;*;0;*;2.545;*;*;
833;J1358-6025;nie+20;J1358-6025;nie+20;0.060533;0;nie+20;3.02e-15;0;nie+20;*;5.4e+35;*;
834;B1356-60;mlt+78;J1359-6038;mlt+78;0.1275084662167;4.0e-13;jbv+19;6.330280E-15;1.2e-20;jbv+19;5.000;1.2e+35;*;
835;J1400-1431;rsm+13;J1400-1431;rsm+13;0.00308423326039194;8.0e-17;skm+17;7.2333E-21;1.5e-24;skm+17;0.278;9.7e+33;3.16e+07;
836;J1400+21;ttm18;J1400+21;ttm18;*;0;*;*;0;*;0.908;*;*;
837;J1400-6325;rmg+10;J1400-6325;rmg+10;0.0311816011;3.0e-10;rmg+10;3.890E-14;6.0e-17;rmg+10;7.000;5.1e+37;*;
838;B1358-63;mlt+78;J1401-6357;mlt+78;0.84280532179;6.0e-11;lbs+20;1.68254E-14;4.0e-19;lbs+20;1.800;1.1e+33;*;
839;J1402+13;fermi21;J1402+13;fermi21;0.00589;0;fermi21;4.832E-17;0;fermi21;*;9.3e+36;*;
840;B1359-51;vl70;J1402-5021;vl70;1.380182295;4.0e-09;lbs+20;5.413E-15;4.0e-18;lbs+20;1.285;8.1e+31;*;
841;J1403-0314;mbc+19;J1403-0314;mbc+19;0.362634;0;mbc+19;*;0;*;25.000;*;*;
842;J1403-6310;kbm+03;J1403-6310;kbm+03;0.39917017693;5.0e-11;kbm+03;9E-17;2.0e-17;kbm+03;5.667;5.6e+31;*;
843;J1403-7646;lml+98;J1403-7646;lml+98;1.3061978120;8.0e-10;ebvb01;1.204E-15;1.6e-17;ebvb01;5.307;2.1e+31;*;
844;J1404+1159;cha03;J1404+1159;cha03;2.65043929892;4.0e-11;mbc+20;1.3768E-15;6.0e-19;mbc+20;2.189;2.9e+30;*;
845;J1405-4656;btb+15;J1405-4656;btb+15;0.00760220343251;1.0e-14;btb+15;2.79E-20;4.0e-22;btb+15;0.669;2.5e+33;-nan;
846;J1405-5641;lfl+06;J1405-5641;lfl+06;0.61757468514;4.0e-11;lfl+06;1.198E-15;1.2e-17;lfl+06;12.383;2.0e+32;*;
847;J1406-4233;kbj+18;J1406-4233;kbj+18;2.43679543159;1.8e-10;sfj+20;6.81E-16;3.0e-18;sfj+20;6.785;1.9e+30;*;
848;J1406-5806;kbm+03;J1406-5806;kbm+03;0.28834924425;5.0e-11;kbm+03;6.11E-16;1.0e-17;kbm+03;5.567;1.0e+33;*;
849;J1406-6121;mlc+01;J1406-6121;mlc+01;0.213074653776;1.4e-11;mlc+01;5.4701E-14;3.0e-18;mlc+01;7.292;2.2e+35;*;
850;J1407-6048;mlc+01;J1407-6048;mlc+01;0.49234420664;5.0e-11;mlc+01;3.156E-15;8.0e-18;mlc+01;7.860;1.0e+33;*;
851;J1407-6153;mlc+01;J1407-6153;mlc+01;0.7016149492;3.0e-10;mlc+01;8.85E-15;7.0e-17;mlc+01;8.205;1.0e+33;*;
852;J1409-6953;bbb+12;J1409-6953;bbb+12;0.5285907792;3.0e-10;bbb+12;0.84E-15;1.0e-17;bbb+12;8.751;2.2e+32;*;
853;J1410-6132;ojk+08;J1410-6132;ojk+08;0.0500519462;0;ojk+08;32E-15;0;ojk+08;13.510;1.0e+37;*;
854;J1410-7404;eb01b;J1410-7404;eb01b;0.2787294436271;1.5e-12;eb01b;6.74E-18;9.0e-20;eb01b;1.336;1.2e+31;*;
855;J1411+2551;msf+17;J1411+2551;msf+17;0.062452895517590;2.0e-15;msf+17;9.56E-20;5.1e-21;msf+17;1.131;1.5e+31;2.42e+09;
856;J1412-6111;mlc+01;J1412-6111;mlc+01;0.52915639797;4.0e-11;mlc+01;1.91E-15;3.0e-17;mlc+01;5.284;5.1e+32;*;
857;J1412-6145;mlc+01;J1412-6145;mlc+01;0.31525843337;1.3e-10;psj+19;9.9033E-14;4.0e-18;psj+19;7.097;1.2e+35;*;
858;J1412+7922;zhi+11;J1412+7922;zhi+11;0.058199071070;1.8e-11;bhe+19;3.29134E-15;3.0e-19;bhe+19;*;6.6e+35;*;
859;J1413-6141;kbm+03;J1413-6141;kbm+03;0.28562462018;1.6e-10;kbm+03;3.3344E-13;1.5e-16;kbm+03;8.469;5.6e+35;*;
860;J1413-6205;sdz+10;J1413-6205;sdz+10;0.10974069969;3.0e-11;sdz+10;2.7680E-14;4.0e-18;sdz+10;2.150;8.3e+35;*;
861;J1413-6222;mlc+01;J1413-6222;mlc+01;0.29240770249;3.0e-11;mlc+01;2.229E-15;6.0e-18;mlc+01;13.087;3.5e+33;*;
862;B1409-62;jlm+92;J1413-6307;jlm+92;0.394945790784;2.0e-12;jml+95;7.4343E-15;2.0e-19;jml+95;3.037;4.8e+33;*;
863;J1414-6802;ebvb01;J1414-6802;ebvb01;4.6301880619;4.0e-10;ebvb01;6.39E-15;7.0e-17;ebvb01;5.420;2.5e+30;*;
864;J1415-6621;ebvb01;J1415-6621;ebvb01;0.39247897310;5.0e-11;hfs+04;5.800E-16;1.0e-18;hfs+04;10.428;3.8e+32;*;
865;J1416-5033;bbb+12;J1416-5033;bbb+12;0.794882546;2.0e-09;bbb+12;0.12E-15;5.0e-17;bbb+12;1.423;9.4e+30;*;
866;J1416-6037;mlc+01;J1416-6037;mlc+01;0.29558048193;3.0e-11;mlc+01;4.280E-15;1.5e-17;mlc+01;5.083;6.5e+33;*;
867;J1417-4402;crr+16;J1417-4402;crr+16;0.0026642160;4.0e-10;crr+16;*;0;*;4.400;*;-nan;
868;J1418-3921;mld+96;J1418-3921;mld+96;1.09680600340;2.0e-11;dsb+98;8.892E-16;3.0e-19;dsb+98;4.081;2.7e+31;*;
869;J1418-5945;kbm+03;J1418-5945;kbm+03;1.6725956812;3.0e-10;kbm+03;2.71E-16;1.7e-17;kbm+03;6.140;2.3e+30;*;
870;J1418-6058;aaa+09c;J1418-6058;aaa+09c;0.110573011690;1.3e-11;rkp+11;1.69394E-13;1.0e-17;rkp+11;1.885;4.9e+36;*;
871;B1417-54;mlt+78;J1420-5416;mlt+78;0.935772204694;1.8e-11;lbs+20;2.3218E-16;7.0e-20;lbs+20;4.399;1.1e+31;*;
872;J1420-5625;hfs+04;J1420-5625;hfs+04;0.03411713084786;1.2e-13;hfs+04;6.8E-20;1.7e-20;hfs+04;1.329;6.7e+31;*;
873;J1420-6048;dkm+01;J1420-6048;dkm+01;0.06817987659;2.0e-11;dkm+01;8.3167E-14;3.0e-18;dkm+01;5.632;1.0e+37;*;
874;J1421-4409;kbj+18;J1421-4409;kbj+18;0.0063857288383424;1.0e-16;sfj+20;1.2366E-20;7.0e-24;sfj+20;2.085;1.9e+33;1.98e+08;
875;J1422-6138;pga+13;J1422-6138;pga+13;0.34096785164;1.2e-10;pga+13;9.6836E-14;1.1e-17;pga+13;*;9.6e+34;*;
876;J1423-6953;ebvb01;J1423-6953;ebvb01;0.333410710172;3.0e-12;jbo+09;1.45130E-15;6.0e-20;jbo+09;4.704;1.5e+33;*;
877;J1424-5556;hfs+04;J1424-5556;hfs+04;0.770374845874;1.8e-11;hfs+04;7.80E-16;3.0e-18;hfs+04;6.205;6.7e+31;*;
878;J1424-56;kle+10;J1424-56;kle+10;1.427;0;kkl+11;*;0;*;0.949;*;*;
879;J1424-5822;kbm+03;J1424-5822;kbm+03;0.36673618809;1.3e-10;lbs+20;3.9356E-15;3.0e-19;lbs+20;6.695;3.1e+33;*;
880;J1424-6438;kbm+03;J1424-6438;kbm+03;1.02350369913;9.0e-11;kbm+03;2.4E-16;7.0e-17;kbm+03;6.079;8.8e+30;*;
881;J1425-5723;kbm+03;J1425-5723;kbm+03;0.35326292024;8.0e-11;kbm+03;2.2E-17;2.0e-18;kbm+03;1.065;2.0e+31;*;
882;J1425-5759;kbm+03;J1425-5759;kbm+03;0.70786760576;4.0e-11;kbm+03;7.42E-16;1.6e-17;kbm+03;7.636;8.3e+31;*;
883;J1425-6210;mlc+01;J1425-6210;mlc+01;0.50173030987;8.0e-11;mlc+01;4.8E-16;4.0e-17;mlc+01;6.851;1.5e+32;*;
884;J1426+52;scb+19;J1426+52;scb+19;0.9958;0;scb+19;*;0;*;25.000;*;*;
885;J1427-4158;jbo+09;J1427-4158;jbo+09;0.586485556229;1.8e-11;jbo+09;0.6212E-15;7.0e-19;jbo+09;3.744;1.2e+32;*;
886;B1424-55;mlt+78;J1428-5530;mlt+78;0.570292409826;4.0e-12;lbs+20;2.086574E-15;1.4e-20;lbs+20;1.897;4.4e+32;*;
887;J1429-5911;sdz+10;J1429-5911;sdz+10;0.11584261008;3.0e-11;sdz+10;3.0500E-14;3.0e-18;sdz+10;1.955;7.7e+35;*;
888;J1429-5935;mlc+01;J1429-5935;mlc+01;0.76391483053;8.0e-11;mlc+01;4.2751E-14;9.0e-18;mlc+01;7.685;3.8e+33;*;
889;J1430+22;mss+20;J1430+22;mss+20;*;0;*;*;0;*;25.000;*;*;
890;J1430-5712;ccb+20;J1430-5712;ccb+20;0.491518803580;9.0e-12;ccb+20;46940.8E-18;1.6e-18;ccb+20;3.902;1.6e+34;*;
891;B1426-66;lvw68;J1430-6623;lvw68;0.7854433453623;7.0e-13;jbv+19;2.77752E-15;5.0e-20;jbv+19;1.327;2.3e+32;1.49e+12;
892;J1431-4715;btb+15;J1431-4715;btb+15;0.0020119534425332;9.0e-16;btb+15;1.411E-20;3.0e-23;btb+15;1.562;6.8e+34;1.53e+08;
893;J1431-5740;bbb+13;J1431-5740;bbb+13;0.0041105439567658;1.2e-15;bbb+13;6.42E-21;1.2e-22;bbb+13;3.554;3.6e+33;*;
894;J1431-6328;kdl+19;J1431-6328;kdl+19;0.00277229565;2.0e-11;kdl+19;*;0;*;4.924;*;*;
895;J1432-5032;kjv+10;J1432-5032;kjv+10;2.0349894792;3.0e-10;bbb+12;5.924E-15;8.0e-18;bbb+12;5.280;2.8e+31;*;
896;J1433+00;dsm+16;J1433+00;dsm+16;*;0;*;*;0;*;2.993;*;*;
897;J1433-6038;kel+09;J1433-6038;kel+09;1.9544296353;5.0e-10;kel+09;5.63E-15;4.0e-17;kel+09;6.221;3.0e+31;*;
898;J1434-5943;ccb+20;J1434-5943;ccb+20;1.07212121207;3.0e-11;ccb+20;29.6E-18;1.8e-18;ccb+20;3.212;9.5e+29;*;
899;J1434-6006;kbm+03;J1434-6006;kbm+03;0.30636786268;4.0e-11;kbm+03;3.020E-15;1.7e-17;kbm+03;5.297;4.1e+33;*;
900;J1434-6029;mlc+01;J1434-6029;mlc+01;0.96334832315;1.6e-10;mlc+01;1.03E-15;8.0e-17;mlc+01;4.808;4.5e+31;*;
901;J1434+7257;slr+14;J1434+7257;slr+14;0.04174114783993;3.0e-14;slr+14;5.50E-19;1.0e-21;slr+14;0.974;3.0e+32;*;
902;J1435-5954;hfs+04;J1435-5954;hfs+04;0.472996377203;9.0e-12;lbs+20;1.54793E-15;3.0e-20;lbs+20;1.064;5.8e+32;*;
903;J1435-6100;clm+01;J1435-6100;clm+01;0.009347972210248;7.0e-15;clm+01;2.45E-20;5.0e-22;clm+01;2.814;1.2e+33;*;
904;J1437-5959;cng+09;J1437-5959;cng+09;0.0616961234035;9.0e-13;cng+09;8.5870E-15;5.0e-19;cng+09;8.543;1.4e+36;*;
905;J1437-6146;hfs+04;J1437-6146;hfs+04;0.46761632345;7.0e-11;hfs+04;6.3304E-15;9.0e-19;hfs+04;4.253;2.4e+33;*;
906;J1439-5501;fsk+04;J1439-5501;fsk+04;0.028634888190455;1.2e-14;lfl+06;1.418E-19;1.0e-21;lfl+06;0.654;2.4e+32;*;
907;J1439+7655;kkl+15;J1439+7655;kkl+15;0.947903;2.0e-06;kkl+15;*;0;*;2.047;*;*;
908;B1436-63;mlt+78;J1440-6344;mlt+78;0.459606723901;7.0e-12;jbv+19;1.1208E-15;5.0e-19;jbv+19;3.446;4.6e+32;*;
909;J1441-6137;kbm+03;J1441-6137;kbm+03;1.17584002290;1.0e-10;kbm+03;3.6E-16;5.0e-17;kbm+03;3.882;8.7e+30;*;
910;J1443-5122;kjv+10;J1443-5122;kjv+10;0.7320612647;5.0e-10;bbb+12;0.338E-15;9.0e-18;bbb+12;2.979;3.4e+31;*;
911;J1444-5941;mlc+01;J1444-5941;mlc+01;2.7602279448;6.0e-10;mlc+01;8.2E-15;3.0e-16;mlc+01;3.844;1.5e+31;*;
912;J1444-6026;mll+06;J1444-6026;mll+06;4.7585755679;2.0e-10;mlk+09;18.542E-15;8.0e-18;mlk+09;5.823;6.8e+30;*;
913;J1446-4701;kjb+12;J1446-4701;kjb+12;0.002194695780881595;1.5e-17;rsc+21;9.8075E-21;3.0e-25;rsc+21;1.569;3.7e+34;1.47e+08;
914;J1447-5757;nie+20;J1447-5757;nie+20;0.158730;0;nie+20;1.17e-14;0;nie+20;*;1.2e+35;*;
915;J1449-5846;kbm+03;J1449-5846;kbm+03;0.463329577191;1.8e-11;kbm+03;8.6E-17;9.0e-18;kbm+03;4.169;3.4e+31;*;
916;J1452-5851;mlc+01;J1452-5851;mlc+01;0.3866429281059;3.0e-13;psj+19;5.07021E-14;3.0e-19;psj+19;4.504;3.5e+34;*;
