;NAME;;PSRJ;;P0;;;P1;;;DIST;EDOT;BSURF_I;
;;;;;(s);;;;;;(kpc);(ergs/s);(G);
40;J0034-0534;bhl+94;J0034-0534;bhl+94;0.0018771818845850;2.0e-16;aaa+10b;4.966E-21;1.0e-24;aaa+10b;1.348;3.0e+34;8.84e+07;
41;B0031-07;lvw69a;J0034-0721;lvw69a;0.9429509945598;1.7e-12;hlk+04;4.08210E-16;7.0e-21;hlk+04;1.030;1.9e+31;6.27e+11;
42;J0034+69;slr+14;J0034+69;slr+14;0.03680412;1.6e-07;slr+14;*;0;*;2.283;*;*;
43;J0038-2501;acd+19;J0038-2501;acd+19;0.2569264575329;1.7e-12;acd+19;0.0760E-17;6.0e-21;acd+19;0.604;1.8e+30;*;
44;J0039+35;scb+19;J0039+35;scb+19;0.5367;0;scb+19;*;0;*;25.000;*;*;
45;B0037+56;dtws85;J0040+5716;dtws85;1.1182253452412;1.3e-12;hlk+04;2.878973E-15;1.2e-20;hlk+04;2.420;8.1e+31;1.82e+12;
46;J0043-73;tsm+19;J0043-73;tsm+19;0.93742937;2.6e-07;tsm+19;*;0;*;58.938;*;*;
47;J0045-7042;mfl+06;J0045-7042;mfl+06;0.63233580002;6.0e-11;mfl+06;2.49E-15;3.0e-17;mfl+06;59.700;3.9e+32;*;
48;J0045-7319;mmh+91;J0045-7319;mmh+91;0.92627590497;3.0e-11;kbm+96;4.4632E-15;9.0e-19;kbm+96;59.700;2.2e+32;*;
49;B0045+33;dtws85;J0048+3412;dtws85;1.217094296058;8.0e-12;hlk+04;2.35454E-15;6.0e-20;hlk+04;4.500;5.2e+31;*;
50;J0050+03;dsm+16;J0050+03;dsm+16;1.36656;0;dsm+16;*;0;*;25.000;*;*;
51;J0051+0423;snt97;J0051+0423;snt97;0.35473179890;1.0e-11;snt97;7E-18;2.0e-18;snt97;1.250;6.2e+30;*;
52;J0052-72;tsm+19;J0052-72;tsm+19;0.191444328;4.6e-08;tsm+19;*;0;*;60.261;*;*;
53;J0054+66;hrk+08;J0054+66;hrk+08;1.39;0;hrk+08;*;0;*;0.901;*;*;
54;J0054+69;kkl+15;J0054+69;kkl+15;*;0;*;*;0;*;2.347;*;*;
55;J0054+6946;slr+14;J0054+6946;slr+14;0.832911328744;5.0e-12;lsk+18;7.194E-16;7.0e-19;lsk+18;2.758;4.9e+31;*;
56;B0052+51;dtws85;J0055+5117;dtws85;2.115171148865;4.0e-12;hlk+04;9.53764E-15;4.0e-20;hlk+04;2.857;4.0e+31;4.54e+12;
57;B0053+47;dtws85;J0056+4756;dtws85;0.472036662076;7.0e-12;hlk+04;3.32849E-15;7.0e-20;hlk+04;1.123;1.2e+33;*;
58;J0057-7201;ckm+01;J0057-7201;ckm+01;0.7380624426;2.0e-10;ckm+01;1.0E-16;8.0e-17;ckm+01;3.476;9.8e+30;*;
59;J0058+4950;slr+14;J0058+4950;slr+14;0.99602345227;4.0e-11;lsk+18;8.04E-16;2.0e-17;lsk+18;2.646;3.2e+31;*;
60;J0058+6125;hrk+08;J0058+6125;hrk+08;0.637;0;hrk+08;*;0;*;2.597;*;*;
61;J0058-7218;met+21;J0058-7218;met+21;0.02176610763;1.9e-10;met+21;2.9E-14;3.0e-15;met+21;59.700;1.1e+38;*;
62;J0059+69;scb+19;J0059+69;scb+19;1.1459;0;scb+19;*;0;*;2.048;*;*;
63;J0100-7211;lfmp02;J0100-7211;lfmp02;8.020392;9.0e-06;mgr+05;1.88E-11;8.0e-13;mgr+05;59.700;1.4e+33;*;
64;J0100+8023;scb+19;J0100+8023;scb+19;1.4936009186;2.0e-10;tbc+20;0.3543E-15;6.0e-19;tbc+20;2.848;4.2e+30;*;
65;J0101-6422;kcj+12;J0101-6422;kcj+12;0.0025731519721683;2.0e-16;kcj+12;5.16E-21;3.0e-23;kcj+12;1.002;1.2e+34;9.78e+07;
66;J0102+4839;hrm+11;J0102+4839;hrm+11;0.00296;0;hrm+11;1.17E-20;0;aaa+13;2.310;1.8e+34;*;
67;B0059+65;dbtb82;J0102+6537;dbtb82;1.679164229064;1.2e-11;hlk+04;5.95492E-15;9.0e-20;hlk+04;2.500;5.0e+31;3.20e+12;
68;J0103+54;kkl+15;J0103+54;kkl+15;0.354304;6.0e-06;kkl+15;*;0;*;2.010;*;*;
69;J0104+64;mss+20;J0104+64;mss+20;1.386;0.0e+00;mss+20;*;0;*;1.711;*;*;
70;J0106+4855;pga+12;J0106+4855;pga+12;0.0831573050050;6.0e-13;pga+12;4.2792E-16;5.0e-20;pga+12;3.063;2.9e+34;*;
71;J0107+1322;scb+19;J0107+1322;scb+19;1.1973833938;1.0e-10;tbc+20;0.687E-15;3.0e-18;tbc+20;2.349;1.6e+31;*;
